Member_number,Date,itemDescription
4576,5/8/2015,UHT-milk
4953,10/10/2015,mayonnaise
4692,10/27/2015,tropical fruit
1170,12/11/2015,turkey
2625,8/4/2015,sausage
2394,8/30/2015,rolls/buns
4277,2/18/2015,soda
3170,1/17/2015,roll products 
2229,10/25/2015,soda
2944,1/2/2015,sausage
2582,6/3/2015,other vegetables
1373,10/5/2015,sausage
1366,10/25/2015,other vegetables
3469,10/5/2015,yogurt
4012,5/16/2015,meat
2031,2/26/2015,frankfurter
2459,9/16/2015,other vegetables
4377,2/23/2015,berries
1534,8/13/2015,rolls/buns
2051,7/23/2015,beverages
3430,1/26/2015,flour
1567,3/13/2015,frankfurter
2972,5/21/2015,UHT-milk
1287,8/28/2015,citrus fruit
4776,8/8/2015,other vegetables
2271,4/8/2015,whole milk
4657,8/15/2015,bottled beer
2344,4/14/2015,onions
1482,6/7/2015,whole milk
1278,9/12/2015,cookware
4831,11/13/2015,beef
1819,11/11/2015,chicken
2687,7/31/2015,sausage
4468,3/24/2015,baking powder
4760,2/4/2015,rolls/buns
2310,3/24/2015,long life bakery product
3924,7/2/2015,cookware
3517,11/12/2015,pip fruit
3164,9/30/2015,citrus fruit
3245,5/17/2015,hamburger meat
2629,6/12/2015,chicken
1347,9/15/2015,beef
1216,8/25/2015,soda
4636,10/4/2015,ham
1197,11/22/2015,citrus fruit
1100,12/3/2015,hygiene articles
2054,12/15/2015,citrus fruit
3761,9/26/2015,bottled beer
4947,9/14/2015,photo/film
1032,6/15/2015,soda
3353,8/14/2015,sausage
4466,8/20/2015,whole milk
2081,1/22/2015,citrus fruit
2162,6/19/2015,cat food
3719,12/17/2015,rolls/buns
3153,4/28/2015,cake bar
4462,2/4/2015,yogurt
2420,9/27/2015,frankfurter
3971,6/17/2015,sausage
1611,2/26/2015,frozen meals
1225,2/26/2015,whole milk
1554,5/21/2015,sausage
4624,11/27/2015,pork
3337,10/6/2015,root vegetables
2265,9/25/2015,waffles
4999,1/24/2015,berries
4102,3/11/2015,hamburger meat
3853,4/7/2015,waffles
2265,6/13/2015,chicken
2452,11/8/2015,chicken
2829,12/19/2015,frankfurter
3926,8/20/2015,cooking chocolate
3960,10/21/2015,pork
3980,9/16/2015,root vegetables
1116,1/29/2015,cream cheese 
2663,10/21/2015,chocolate
2164,11/24/2015,brown bread
3950,12/5/2015,chicken
1252,4/13/2015,turkey
4804,12/27/2015,other vegetables
4041,7/9/2015,grapes
1894,4/8/2015,frozen potato products
4977,8/20/2015,dog food
2171,3/9/2015,hamburger meat
3417,12/15/2015,tropical fruit
1175,10/6/2015,citrus fruit
4946,2/17/2015,sausage
4662,6/27/2015,pip fruit
2869,10/12/2015,tropical fruit
4053,3/22/2015,frankfurter
4574,11/30/2015,sausage
1110,11/15/2015,baking powder
4700,4/3/2015,bottled water
2565,4/29/2015,root vegetables
2468,3/13/2015,bottled beer
4836,11/13/2015,zwieback
3504,9/22/2015,root vegetables
1333,3/4/2015,sausage
4039,12/27/2015,condensed milk
2077,5/15/2015,citrus fruit
3519,12/13/2015,other vegetables
2989,1/30/2015,pet care
3737,5/5/2015,yogurt
3558,9/19/2015,pip fruit
3036,7/13/2015,whole milk
3180,3/7/2015,other vegetables
2978,9/5/2015,meat
3985,10/23/2015,whole milk
4903,8/12/2015,rolls/buns
2835,9/10/2015,ham
3783,6/22/2015,honey
1486,12/14/2015,chicken
4589,8/10/2015,white wine
1132,2/19/2015,semi-finished bread
4827,11/27/2015,frankfurter
3361,6/28/2015,other vegetables
4681,11/9/2015,whole milk
4197,10/26/2015,sausage
3701,1/22/2015,tropical fruit
4195,1/10/2015,other vegetables
3429,1/4/2015,soda
2430,1/20/2015,specialty bar
4330,8/4/2015,pork
1783,3/18/2015,butter
4025,4/11/2015,yogurt
3399,7/19/2015,tropical fruit
4766,3/1/2015,bottled beer
3562,8/13/2015,sausage
2447,1/21/2015,grapes
1396,7/22/2015,pork
4633,4/26/2015,citrus fruit
4695,5/1/2015,yogurt
1706,8/14/2015,brandy
3872,11/23/2015,turkey
1444,10/14/2015,whole milk
4753,8/11/2015,finished products
4580,11/29/2015,onions
2516,3/4/2015,yogurt
2415,8/8/2015,curd
3925,3/25/2015,beef
4996,11/24/2015,misc. beverages
4569,7/27/2015,sausage
3509,11/4/2015,citrus fruit
2252,8/10/2015,chicken
1634,9/2/2015,other vegetables
4112,4/27/2015,ice cream
4042,8/8/2015,sausage
4473,6/26/2015,tropical fruit
3878,4/30/2015,pip fruit
2266,9/30/2015,grapes
3304,11/30/2015,berries
3757,4/2/2015,bottled water
3440,12/21/2015,pork
4328,4/2/2015,pork
3737,6/12/2015,sausage
3948,6/15/2015,rolls/buns
3682,5/3/2015,whole milk
2827,10/31/2015,beef
2650,5/10/2015,beef
1360,12/16/2015,ham
3679,12/23/2015,other vegetables
4137,7/3/2015,hamburger meat
4235,12/19/2015,berries
3193,1/31/2015,sausage
1332,2/12/2015,citrus fruit
4821,11/28/2015,whole milk
1837,9/7/2015,citrus fruit
3665,9/23/2015,bottled water
2659,8/5/2015,sausage
1322,9/1/2015,meat
1599,5/29/2015,tropical fruit
2933,6/4/2015,pip fruit
3963,2/21/2015,other vegetables
4178,3/6/2015,berries
1052,10/27/2015,other vegetables
4693,8/18/2015,frankfurter
1329,2/2/2015,sausage
3128,6/13/2015,meat
1175,6/30/2015,yogurt
2211,3/31/2015,canned beer
2093,12/6/2015,whole milk
4284,10/14/2015,sausage
4449,3/30/2015,frankfurter
4269,1/4/2015,frankfurter
1962,5/4/2015,sausage
2250,4/10/2015,citrus fruit
1743,11/13/2015,frozen meals
1583,7/28/2015,sausage
4295,10/26/2015,whole milk
1183,6/29/2015,ham
2729,3/21/2015,cling film/bags
4035,3/8/2015,chicken
1608,6/8/2015,red/blush wine
1793,3/7/2015,chicken
2210,9/7/2015,hamburger meat
1885,3/7/2015,bottled water
1078,10/28/2015,curd
1016,9/30/2015,frankfurter
3077,5/29/2015,turkey
3551,1/5/2015,tropical fruit
1158,10/17/2015,other vegetables
2443,6/20/2015,pip fruit
1395,1/15/2015,meat
2454,10/11/2015,sausage
3472,4/30/2015,mayonnaise
3547,11/28/2015,soda
1038,2/21/2015,pork
3915,11/9/2015,rolls/buns
2719,4/19/2015,soda
2234,12/23/2015,whole milk
1565,12/14/2015,berries
1328,3/24/2015,ham
3398,1/18/2015,rolls/buns
3687,12/2/2015,rolls/buns
2448,8/6/2015,onions
2652,12/26/2015,whole milk
1385,11/19/2015,yogurt
2960,8/31/2015,rolls/buns
2736,2/3/2015,whole milk
1768,4/21/2015,rolls/buns
2002,10/20/2015,rolls/buns
3046,11/18/2015,pip fruit
2284,3/18/2015,frankfurter
1708,9/18/2015,turkey
1952,11/23/2015,onions
3497,8/9/2015,beef
1479,5/14/2015,sausage
1237,9/4/2015,other vegetables
4353,8/24/2015,chicken
3528,8/18/2015,sausage
2092,4/9/2015,tropical fruit
2514,2/11/2015,tropical fruit
4790,5/16/2015,pip fruit
1948,8/25/2015,yogurt
3581,1/16/2015,tropical fruit
4778,3/26/2015,soda
2601,3/26/2015,rolls/buns
4678,3/31/2015,condensed milk
3642,2/24/2015,domestic eggs
2957,9/19/2015,candles
4585,9/28/2015,butter milk
3637,10/7/2015,whole milk
1353,9/2/2015,beef
3257,2/13/2015,meat
2524,10/9/2015,citrus fruit
2035,12/23/2015,beef
3658,9/26/2015,UHT-milk
1901,11/29/2015,berries
3247,1/13/2015,rolls/buns
4308,1/24/2015,whole milk
1305,5/24/2015,pork
1011,9/12/2015,candles
2234,7/29/2015,pork
3744,8/12/2015,salt
2903,8/8/2015,citrus fruit
3036,12/7/2015,other vegetables
2465,12/27/2015,pastry
1233,3/20/2015,waffles
1366,5/29/2015,curd
3741,6/8/2015,whole milk
2230,5/28/2015,sausage
1206,5/15/2015,soda
3690,4/24/2015,ice cream
3620,6/18/2015,tropical fruit
4759,2/20/2015,ham
3543,11/10/2015,meat
2792,7/29/2015,berries
1929,10/7/2015,other vegetables
2433,8/23/2015,beef
4941,1/15/2015,bottled beer
3547,7/10/2015,butter
1290,4/24/2015,whole milk
4207,8/28/2015,citrus fruit
2107,1/3/2015,frankfurter
3050,11/3/2015,sausage
3814,7/21/2015,hygiene articles
4875,9/13/2015,frankfurter
3691,8/8/2015,shopping bags
2433,3/14/2015,beef
4757,9/1/2015,canned beer
1407,4/29/2015,frankfurter
4718,12/6/2015,frankfurter
1240,4/14/2015,whole milk
1792,8/15/2015,beef
4486,9/11/2015,canned beer
1757,6/15/2015,canned beer
2186,1/7/2015,whole milk
3752,4/15/2015,whole milk
3051,11/29/2015,ham
3688,10/23/2015,brandy
4676,1/15/2015,frankfurter
2142,6/25/2015,root vegetables
4939,6/29/2015,hygiene articles
1806,6/7/2015,hamburger meat
1595,5/10/2015,sausage
2086,9/3/2015,meat
4251,3/10/2015,tropical fruit
2689,4/30/2015,root vegetables
2560,11/26/2015,pip fruit
2393,4/17/2015,yogurt
1669,8/19/2015,root vegetables
3500,4/21/2015,canned beer
1213,3/3/2015,pork
4598,11/18/2015,root vegetables
1404,3/5/2015,sausage
1758,2/26/2015,chocolate
1265,7/3/2015,citrus fruit
1006,6/14/2015,chicken
2779,10/17/2015,whole milk
4457,3/9/2015,packaged fruit/vegetables
2532,6/7/2015,whole milk
2811,2/23/2015,beef
4004,10/5/2015,ham
1737,9/5/2015,newspapers
3266,10/25/2015,frankfurter
4981,10/1/2015,whole milk
1934,6/8/2015,sausage
2512,1/19/2015,domestic eggs
3400,4/3/2015,dishes
4301,1/5/2015,pork
2997,12/30/2015,tropical fruit
1098,5/8/2015,yogurt
2208,7/30/2015,hamburger meat
3672,5/28/2015,canned beer
3651,1/24/2015,pet care
3957,5/15/2015,beef
2986,11/1/2015,chicken
4433,5/25/2015,yogurt
3822,5/27/2015,sugar
4588,4/30/2015,newspapers
2622,7/17/2015,hard cheese
2117,2/5/2015,beef
1780,12/7/2015,beverages
3819,12/4/2015,beef
1884,11/12/2015,rolls/buns
2595,1/23/2015,whole milk
3046,3/31/2015,chicken
3228,1/26/2015,sausage
2251,6/23/2015,citrus fruit
2368,11/11/2015,red/blush wine
2573,3/1/2015,whole milk
4701,4/30/2015,pip fruit
4384,5/25/2015,turkey
1998,5/18/2015,frankfurter
4583,2/23/2015,canned beer
2043,4/21/2015,pastry
2201,5/22/2015,bottled water
3522,9/23/2015,whole milk
3922,8/28/2015,citrus fruit
2636,11/9/2015,whole milk
1092,7/27/2015,bottled beer
2711,9/13/2015,liquor
3899,4/22/2015,curd
4372,7/30/2015,other vegetables
4576,5/8/2015,nuts/prunes
4953,10/10/2015,other vegetables
4692,10/27/2015,UHT-milk
1170,12/11/2015,pork
2625,8/4/2015,sausage
2394,8/30/2015,beverages
4277,2/18/2015,pastry
3170,1/17/2015,root vegetables
2229,10/25/2015,root vegetables
2944,1/2/2015,beef
2582,6/3/2015,bathroom cleaner
1373,10/5/2015,yogurt
1366,10/25/2015,frankfurter
3469,10/5/2015,curd cheese
4012,5/16/2015,whole milk
2031,2/26/2015,grapes
2459,9/16/2015,bottled water
4377,2/23/2015,butter milk
1534,8/13/2015,sliced cheese
2051,7/23/2015,fruit/vegetable juice
3430,1/26/2015,female sanitary products
1567,3/13/2015,rolls/buns
2972,5/21/2015,canned beer
1287,8/28/2015,pip fruit
4776,8/8/2015,pip fruit
2271,4/8/2015,rolls/buns
4657,8/15/2015,beef
2344,4/14/2015,frozen fish
1482,6/7/2015,soda
1278,9/12/2015,canned beer
4831,11/13/2015,tropical fruit
1819,11/11/2015,packaged fruit/vegetables
2687,7/31/2015,rolls/buns
4468,3/24/2015,canned beer
4760,2/4/2015,butter
2310,3/24/2015,berries
3924,7/2/2015,root vegetables
3517,11/12/2015,meat
3164,9/30/2015,brown bread
3245,5/17/2015,citrus fruit
2629,6/12/2015,whole milk
1347,9/15/2015,soda
1216,8/25/2015,root vegetables
4636,10/4/2015,tropical fruit
1197,11/22/2015,root vegetables
1100,12/3/2015,grapes
2054,12/15/2015,margarine
3761,9/26/2015,beef
4947,9/14/2015,yogurt
1032,6/15/2015,butter
3353,8/14/2015,rolls/buns
4466,8/20/2015,ham
2081,1/22/2015,frankfurter
1800,2/5/2015,root vegetables
3414,10/23/2015,brown bread
2799,12/8/2015,hamburger meat
1634,3/12/2015,frankfurter
3481,3/22/2015,beef
3691,8/24/2015,root vegetables
2811,11/2/2015,butter milk
2758,11/19/2015,sausage
2872,9/19/2015,tropical fruit
3339,8/10/2015,canned beer
3483,10/28/2015,sausage
3255,4/29/2015,soda
3462,11/15/2015,tropical fruit
1355,2/28/2015,tropical fruit
2952,11/25/2015,whole milk
2171,6/19/2015,meat
2693,2/11/2015,beef
1348,6/13/2015,chewing gum
1112,9/4/2015,ice cream
2058,2/24/2015,other vegetables
2003,11/23/2015,frozen dessert
2166,12/3/2015,rolls/buns
3113,6/18/2015,tropical fruit
2830,6/22/2015,sausage
3582,6/17/2015,fruit/vegetable juice
4572,8/19/2015,whole milk
1373,7/19/2015,grapes
2513,6/11/2015,rolls/buns
3050,12/15/2015,other vegetables
2563,3/8/2015,ham
1055,5/25/2015,yogurt
1887,9/11/2015,sausage
2391,3/1/2015,cookware
3347,4/24/2015,pastry
4873,3/9/2015,beverages
1571,5/24/2015,bottled beer
3571,10/21/2015,tropical fruit
4348,11/4/2015,tropical fruit
2400,6/2/2015,whole milk
2200,10/10/2015,pork
3973,2/9/2015,canned beer
2695,4/7/2015,pork
3053,12/25/2015,ice cream
2964,11/8/2015,ice cream
2494,6/13/2015,packaged fruit/vegetables
1603,7/9/2015,frankfurter
1264,7/12/2015,yogurt
2809,10/4/2015,pork
3180,9/15/2015,tropical fruit
4539,9/3/2015,spread cheese
2990,6/29/2015,pastry
1969,11/2/2015,other vegetables
1191,8/8/2015,citrus fruit
2690,10/20/2015,frankfurter
3803,10/20/2015,chicken
3999,4/19/2015,sausage
3677,11/30/2015,frankfurter
1168,11/2/2015,whole milk
1324,12/27/2015,frankfurter
3829,10/7/2015,soda
2664,9/20/2015,sausage
3002,1/22/2015,whole milk
4305,6/23/2015,whole milk
2633,2/14/2015,brown bread
1120,1/14/2015,UHT-milk
2870,2/25/2015,hamburger meat
2977,11/16/2015,other vegetables
2135,1/25/2015,whole milk
4460,12/7/2015,canned beer
2961,7/21/2015,canned beer
2109,9/24/2015,male cosmetics
1023,6/28/2015,bottled beer
2645,6/26/2015,newspapers
2910,4/12/2015,whole milk
3251,9/11/2015,yogurt
2309,12/29/2015,frozen meals
2553,6/21/2015,other vegetables
4100,4/22/2015,whole milk
2580,11/17/2015,other vegetables
4628,10/12/2015,soda
1073,8/6/2015,curd
1459,7/18/2015,whole milk
3752,8/21/2015,bottled water
4655,3/21/2015,citrus fruit
2484,6/20/2015,domestic eggs
4990,3/15/2015,newspapers
2356,2/2/2015,hamburger meat
3476,4/21/2015,detergent
4643,1/25/2015,cookware
3287,2/2/2015,pork
3468,11/14/2015,canned beer
2779,12/27/2015,sausage
3811,11/5/2015,soft cheese
3122,10/13/2015,canned fruit
2874,1/22/2015,frankfurter
3148,3/28/2015,frankfurter
4359,9/24/2015,berries
4510,3/26/2015,ice cream
3298,4/28/2015,sausage
3285,12/7/2015,whole milk
4752,11/2/2015,UHT-milk
4741,2/25/2015,whole milk
3557,5/24/2015,meat
4328,7/21/2015,beef
1052,6/7/2015,yogurt
1719,9/17/2015,canned beer
1360,5/2/2015,grapes
1299,3/6/2015,whole milk
4260,11/16/2015,whole milk
1785,7/15/2015,canned beer
3835,6/1/2015,tropical fruit
1720,5/12/2015,onions
1872,5/4/2015,whole milk
1406,3/23/2015,chicken
3560,9/29/2015,other vegetables
4628,11/29/2015,citrus fruit
2692,9/10/2015,white wine
4843,5/13/2015,pork
4395,6/25/2015,whole milk
1196,11/27/2015,candy
1076,5/14/2015,chicken
3519,1/28/2015,citrus fruit
1335,10/18/2015,grapes
4988,10/29/2015,rolls/buns
4437,10/20/2015,hamburger meat
2262,4/10/2015,other vegetables
4320,7/1/2015,candy
1155,1/4/2015,sausage
3101,12/17/2015,pork
2433,10/19/2015,onions
2051,11/14/2015,beef
3144,8/16/2015,yogurt
2000,8/23/2015,sparkling wine
2427,6/26/2015,citrus fruit
2916,6/13/2015,semi-finished bread
1609,12/17/2015,soda
2982,6/25/2015,frankfurter
1804,11/30/2015,white bread
4997,12/27/2015,white wine
2789,1/28/2015,fish
2512,4/23/2015,ham
2641,1/3/2015,beverages
2102,10/5/2015,soda
2979,7/17/2015,sliced cheese
3685,4/3/2015,tropical fruit
2918,11/10/2015,rolls/buns
4640,1/31/2015,waffles
1149,6/8/2015,bottled beer
4608,5/1/2015,hamburger meat
3794,11/26/2015,other vegetables
3014,4/11/2015,root vegetables
2083,3/28/2015,whole milk
1656,8/13/2015,bottled beer
1482,7/24/2015,sausage
3050,10/20/2015,sausage
3882,4/23/2015,whole milk
2618,3/12/2015,artif. sweetener
4888,2/13/2015,finished products
2523,12/1/2015,dog food
4633,4/14/2015,ham
2440,2/3/2015,bottled beer
2100,5/7/2015,ice cream
3691,12/2/2015,coffee
4499,6/5/2015,beef
2370,8/28/2015,frozen fish
3831,10/14/2015,bottled beer
4744,10/28/2015,onions
4919,12/3/2015,chicken
4876,2/21/2015,beef
1296,8/20/2015,meat
4845,8/28/2015,chewing gum
4606,3/13/2015,rolls/buns
1438,2/26/2015,frankfurter
2777,5/24/2015,whole milk
4220,10/8/2015,canned beer
1943,7/1/2015,canned beer
3535,1/9/2015,specialty chocolate
2194,9/1/2015,UHT-milk
2326,11/29/2015,beverages
4189,7/4/2015,soda
1023,6/1/2015,root vegetables
3886,1/4/2015,sausage
1443,9/10/2015,rolls/buns
1395,6/26/2015,tropical fruit
1291,1/14/2015,citrus fruit
1374,10/3/2015,salty snack
4015,2/20/2015,other vegetables
3009,2/18/2015,canned beer
2961,11/16/2015,chocolate
3260,8/7/2015,onions
1793,5/19/2015,male cosmetics
2985,5/1/2015,chicken
1205,3/14/2015,whole milk
1116,8/10/2015,white bread
1633,9/8/2015,pork
3600,7/30/2015,meat
4740,10/7/2015,other vegetables
2677,12/23/2015,whole milk
1540,8/14/2015,beef
4323,3/26/2015,frankfurter
4320,4/18/2015,sausage
1363,6/16/2015,pastry
1761,9/8/2015,napkins
1733,6/23/2015,canned fish
1994,5/10/2015,bottled beer
4300,4/4/2015,citrus fruit
4298,7/25/2015,whole milk
1097,1/11/2015,whole milk
3766,7/5/2015,frankfurter
2348,2/28/2015,tropical fruit
4588,8/11/2015,coffee
3784,6/14/2015,herbs
2787,5/3/2015,sausage
2056,11/24/2015,root vegetables
3986,7/25/2015,curd
3861,7/7/2015,dessert
1094,7/1/2015,tropical fruit
4743,1/24/2015,pastry
3543,2/6/2015,rolls/buns
4914,3/14/2015,rolls/buns
2004,8/21/2015,hamburger meat
4171,3/6/2015,pastry
3041,9/15/2015,pip fruit
1324,10/7/2015,bottled water
1524,6/8/2015,cream cheese 
4260,5/30/2015,root vegetables
1494,9/29/2015,canned beer
2521,3/3/2015,whole milk
2225,4/28/2015,rolls/buns
3486,12/23/2015,root vegetables
1422,2/28/2015,yogurt
3082,2/20/2015,yogurt
1114,12/3/2015,sausage
4773,10/31/2015,other vegetables
1939,10/30/2015,coffee
2723,3/11/2015,beef
1361,8/9/2015,beef
2294,10/5/2015,pip fruit
3915,5/3/2015,tropical fruit
3579,12/30/2015,pork
2051,4/20/2015,pork
2113,7/9/2015,sausage
1909,8/31/2015,chicken
2328,2/22/2015,frankfurter
2948,6/19/2015,other vegetables
3504,5/20/2015,pip fruit
3069,9/4/2015,whole milk
2142,5/19/2015,pork
4411,4/17/2015,pip fruit
1993,8/7/2015,pip fruit
4579,9/1/2015,frankfurter
1177,10/14/2015,canned beer
2499,4/24/2015,butter
4427,1/14/2015,sausage
2883,12/10/2015,meat
1242,4/12/2015,dog food
3409,11/12/2015,sausage
1307,6/22/2015,sausage
3507,10/11/2015,pip fruit
2606,1/26/2015,tropical fruit
3048,6/6/2015,beef
2007,11/23/2015,whole milk
3072,1/26/2015,citrus fruit
3354,1/14/2015,pastry
3656,11/3/2015,frozen meals
4417,5/18/2015,sausage
3296,6/6/2015,organic sausage
1323,4/30/2015,whole milk
1754,9/17/2015,beverages
3872,3/11/2015,citrus fruit
3691,5/2/2015,berries
1218,12/29/2015,meat
1381,3/23/2015,bottled beer
4550,2/3/2015,rolls/buns
1377,6/2/2015,whole milk
4388,2/19/2015,citrus fruit
2157,7/14/2015,beverages
3321,12/25/2015,tropical fruit
3205,11/12/2015,other vegetables
4444,7/22/2015,rolls/buns
2348,1/11/2015,curd cheese
4275,8/18/2015,grapes
3664,4/5/2015,canned beer
1627,11/2/2015,pip fruit
1641,5/27/2015,canned beer
1461,12/21/2015,soda
4266,6/17/2015,berries
2754,2/5/2015,pip fruit
3117,9/30/2015,pork
1654,4/29/2015,rolls/buns
1154,5/17/2015,sausage
1333,9/22/2015,sausage
2188,7/28/2015,pip fruit
4679,5/16/2015,frankfurter
2495,7/28/2015,butter
4117,10/12/2015,organic sausage
4035,12/1/2015,sausage
1500,6/1/2015,frankfurter
4357,4/13/2015,chicken
1199,11/21/2015,whole milk
4467,11/22/2015,berries
4220,11/21/2015,beef
4376,7/16/2015,rolls/buns
4190,12/24/2015,root vegetables
4501,6/15/2015,tropical fruit
1454,10/22/2015,beef
3922,1/4/2015,beef
3586,2/5/2015,hamburger meat
2139,4/16/2015,citrus fruit
2475,10/11/2015,domestic eggs
3419,5/12/2015,dessert
2518,3/7/2015,beverages
1690,3/3/2015,sausage
1281,2/6/2015,rolls/buns
2176,4/2/2015,frankfurter
2787,3/13/2015,citrus fruit
3460,2/14/2015,pork
3224,1/19/2015,liver loaf
1540,11/26/2015,frankfurter
3942,4/4/2015,whole milk
2939,3/8/2015,whole milk
3807,10/26/2015,pork
3380,5/16/2015,pasta
1785,7/6/2015,fruit/vegetable juice
2625,6/3/2015,chicken
1828,3/24/2015,grapes
4225,8/5/2015,bottled water
1646,8/28/2015,frankfurter
1412,11/16/2015,frankfurter
1892,4/24/2015,shopping bags
2535,10/11/2015,whole milk
4107,11/15/2015,sausage
1452,3/29/2015,frozen vegetables
4853,9/17/2015,pip fruit
2196,8/23/2015,tropical fruit
1026,5/28/2015,whipped/sour cream
3879,3/12/2015,tropical fruit
4967,9/23/2015,frankfurter
3408,5/11/2015,bottled water
3732,1/26/2015,berries
1040,11/26/2015,chicken
2612,5/31/2015,beverages
1137,9/26/2015,other vegetables
4223,6/15/2015,white bread
3832,7/17/2015,frankfurter
2179,4/16/2015,coffee
2604,12/2/2015,frankfurter
2238,3/20/2015,sausage
2589,12/2/2015,sausage
2402,6/9/2015,soda
4130,6/11/2015,tropical fruit
4841,12/17/2015,misc. beverages
1734,8/6/2015,tropical fruit
3748,3/27/2015,butter
1021,10/22/2015,curd
1104,4/1/2015,other vegetables
2613,9/1/2015,specialty bar
4204,10/16/2015,curd
2022,7/22/2015,beef
2242,5/6/2015,whole milk
4352,7/20/2015,frozen meals
1945,5/2/2015,bottled water
1427,11/26/2015,soda
3709,8/9/2015,pork
1349,4/13/2015,whole milk
4691,8/1/2015,shopping bags
1465,6/26/2015,sausage
2867,7/16/2015,soft cheese
2381,5/17/2015,sausage
2471,8/13/2015,frozen vegetables
3252,8/22/2015,chicken
4077,3/18/2015,yogurt
2359,4/21/2015,whole milk
4430,2/12/2015,rolls/buns
3456,10/9/2015,sausage
2563,3/6/2015,yogurt
2386,4/10/2015,pork
4909,10/26/2015,tropical fruit
1014,3/10/2015,sausage
1389,2/18/2015,canned beer
4800,12/24/2015,grapes
1069,8/20/2015,tropical fruit
1833,12/7/2015,yogurt
4028,8/7/2015,frankfurter
3919,9/2/2015,sausage
3086,2/1/2015,pork
2708,2/17/2015,soda
3513,8/29/2015,baking powder
3774,9/16/2015,misc. beverages
4827,1/27/2015,processed cheese
4213,8/23/2015,pork
4536,2/24/2015,cream cheese 
1489,6/23/2015,tropical fruit
2005,9/22/2015,jam
2429,6/29/2015,pip fruit
2721,10/8/2015,frankfurter
3909,9/2/2015,flower soil/fertilizer
4808,8/20/2015,whole milk
4024,10/16/2015,pork
2855,3/2/2015,frankfurter
4881,7/28/2015,chewing gum
1214,10/1/2015,chicken
1608,10/11/2015,frozen vegetables
1724,9/9/2015,rolls/buns
1911,2/6/2015,yogurt
3881,2/4/2015,frankfurter
1780,8/27/2015,sausage
4675,9/14/2015,citrus fruit
3497,9/24/2015,other vegetables
1000,3/15/2015,whole milk
3955,8/28/2015,beverages
4232,12/19/2015,Instant food products
3472,2/28/2015,hamburger meat
4217,5/2/2015,sausage
3778,1/10/2015,tropical fruit
2666,6/4/2015,whole milk
3518,5/18/2015,pastry
4525,9/28/2015,whole milk
2975,1/28/2015,pasta
1339,11/28/2015,whole milk
2001,1/28/2015,processed cheese
2091,10/19/2015,brown bread
2453,8/28/2015,frozen meals
4681,2/28/2015,sausage
2618,9/14/2015,tropical fruit
3389,1/26/2015,beef
3044,9/29/2015,bottled beer
3039,2/9/2015,domestic eggs
4563,5/14/2015,sparkling wine
2683,11/8/2015,soda
4063,12/11/2015,sausage
3014,10/19/2015,chocolate
4356,1/12/2015,tropical fruit
3050,6/5/2015,beef
3613,5/6/2015,brown bread
3152,11/24/2015,whole milk
4187,10/28/2015,berries
2001,3/3/2015,citrus fruit
1584,1/26/2015,soda
1475,3/28/2015,hamburger meat
4942,6/8/2015,chocolate
2083,7/11/2015,grapes
4685,8/27/2015,tropical fruit
2070,3/24/2015,yogurt
2657,1/4/2015,hamburger meat
4012,4/4/2015,nuts/prunes
2698,1/24/2015,pastry
2222,12/28/2015,sausage
2421,10/27/2015,sausage
2410,11/21/2015,berries
3036,12/7/2015,canned beer
2465,12/27/2015,citrus fruit
1233,3/20/2015,rolls/buns
1366,5/29/2015,rolls/buns
3741,6/8/2015,chicken
2230,5/28/2015,frankfurter
1206,5/15/2015,rolls/buns
3690,4/24/2015,citrus fruit
3620,6/18/2015,soda
4759,2/20/2015,beef
3543,11/10/2015,waffles
2792,7/29/2015,whole milk
1929,10/7/2015,finished products
2433,8/23/2015,whole milk
4941,1/15/2015,ham
3547,7/10/2015,processed cheese
1290,4/24/2015,sausage
4207,8/28/2015,curd
2107,1/3/2015,bottled beer
3050,11/3/2015,dessert
3814,7/21/2015,chicken
4875,9/13/2015,bottled beer
3691,8/8/2015,finished products
2433,3/14/2015,rolls/buns
4757,9/1/2015,soda
1407,4/29/2015,fruit/vegetable juice
4718,12/6/2015,other vegetables
1240,4/14/2015,frozen vegetables
1792,8/15/2015,tropical fruit
4486,9/11/2015,frozen vegetables
1757,6/15/2015,hamburger meat
2186,1/7/2015,frankfurter
3752,4/15/2015,yogurt
3051,11/29/2015,other vegetables
3688,10/23/2015,sausage
4676,1/15/2015,sausage
2142,6/25/2015,rolls/buns
4939,6/29/2015,chicken
1806,6/7/2015,frankfurter
1595,5/10/2015,whole milk
2086,9/3/2015,bottled beer
4251,3/10/2015,shopping bags
2689,4/30/2015,sausage
2560,11/26/2015,soda
2393,4/17/2015,tropical fruit
1669,8/19/2015,pork
3500,4/21/2015,frozen dessert
1213,3/3/2015,beef
4598,11/18/2015,frankfurter
1404,3/5/2015,bottled beer
1758,2/26/2015,pip fruit
1265,7/3/2015,chicken
1006,6/14/2015,frankfurter
2779,10/17/2015,yogurt
4457,3/9/2015,ice cream
2532,6/7/2015,tropical fruit
2811,2/23/2015,pasta
4004,10/5/2015,root vegetables
1737,9/5/2015,other vegetables
3266,10/25/2015,soda
4981,10/1/2015,soda
1934,6/8/2015,grapes
2512,1/19/2015,specialty chocolate
3400,4/3/2015,pip fruit
4301,1/5/2015,chewing gum
2997,12/30/2015,frankfurter
1098,5/8/2015,frankfurter
